strategy,symbol,date,entry_time,exit_time,direction,setup,entry,stop,risk_pct,target_r,partial_hit,exit_reason,pnl_r
Jason Berry,ES=F,2026-05-13,10:30,10:35,long,OR breakout + EMA trend,7431.0,7423.5,0.101,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-05-14,10:15,15:50,long,OR breakout + EMA trend,7505.0,7497.8625,0.095,1.0,True,time,1.989
Jason Berry,ES=F,2026-05-15,13:20,14:15,long,OR breakout + EMA trend,7465.75,7457.4,0.112,1.0,True,breakeven,0.5
Jason Berry,ES=F,2026-05-18,11:00,11:00,short,OR breakdown + EMA trend,7413.25,7425.5125,0.165,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-05-19,10:10,10:25,short,OR breakdown + EMA trend,7368.0,7379.6375,0.158,1.0,True,breakeven,0.5
Jason Berry,ES=F,2026-05-20,10:15,10:15,long,OR breakout + EMA trend,7411.5,7402.175,0.126,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-05-21,10:05,10:10,long,OR breakout + EMA trend,7441.5,7433.275,0.111,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-05-22,10:10,10:25,short,OR breakdown + EMA trend,7489.75,7497.775,0.107,1.0,True,breakeven,0.5
Jason Berry,ES=F,2026-05-26,10:05,10:55,long,OR breakout + EMA trend,7547.0,7540.575,0.085,1.0,True,breakeven,0.5
Jason Berry,ES=F,2026-05-27,11:15,11:15,short,OR breakdown + EMA trend,7524.75,7530.8375,0.081,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-05-28,10:05,15:50,long,OR breakout + EMA trend,7540.0,7533.45,0.087,1.0,True,time,3.763
Jason Berry,ES=F,2026-05-29,10:40,10:50,short,OR breakdown + EMA trend,7582.75,7591.8125,0.12,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-06-01,11:30,11:30,long,OR breakout + EMA trend,7598.5,7592.675,0.077,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-06-02,10:05,10:20,long,OR breakout + EMA trend,7606.75,7601.775,0.065,1.0,True,breakeven,0.5
Jason Berry,ES=F,2026-06-03,12:20,12:55,short,OR breakdown + EMA trend,7568.25,7577.1429,0.118,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-06-04,10:20,15:50,long,OR breakout + EMA trend,7569.5,7557.95,0.153,1.0,True,time,2.004
Jason Berry,ES=F,2026-06-05,11:10,15:50,short,OR breakdown + EMA trend,7507.5,7517.1125,0.128,1.0,True,time,5.233
Jason Berry,ES=F,2026-06-08,10:55,10:55,long,OR breakout + EMA trend,7473.25,7459.45,0.185,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-06-09,10:10,10:10,short,OR breakdown + EMA trend,7437.25,7453.8839,0.224,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-06-10,10:05,10:05,long,OR breakout + EMA trend,7392.0,7379.7,0.166,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-06-11,10:55,11:10,short,OR breakdown + EMA trend,7275.5,7296.5375,0.289,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-06-12,10:50,10:50,long,OR breakout + EMA trend,7433.5,7411.1875,0.3,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-06-15,10:55,15:35,long,OR breakout + EMA trend,7623.0,7617.45,0.073,1.0,True,breakeven,0.5
Jason Berry,ES=F,2026-06-16,10:20,10:35,short,OR breakdown + EMA trend,7617.25,7627.1125,0.129,1.0,True,breakeven,0.5
Jason Berry,ES=F,2026-06-17,10:20,10:20,long,OR breakout + EMA trend,7603.75,7594.05,0.128,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-06-22,10:25,15:50,short,OR breakdown + EMA trend,7561.25,7579.1964,0.237,1.0,True,time,0.988
Jason Berry,ES=F,2026-06-23,10:05,10:45,long,OR breakout + EMA trend,7478.75,7461.6607,0.229,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-06-24,10:40,10:40,long,OR breakout + EMA trend,7472.75,7462.075,0.143,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-06-26,10:05,12:20,long,OR breakout + EMA trend,7423.0,7402.8304,0.272,1.0,True,breakeven,0.5
Jason Berry,ES=F,2026-06-29,10:05,10:25,short,OR breakdown + EMA trend,7439.5,7453.5,0.188,1.0,True,breakeven,0.5
Jason Berry,ES=F,2026-06-30,10:20,10:40,long,OR breakout + EMA trend,7530.5,7521.3625,0.121,1.0,True,breakeven,0.5
Jason Berry,ES=F,2026-07-01,10:05,15:50,long,OR breakout + EMA trend,7544.5,7529.7375,0.196,1.0,True,time,0.576
Jason Berry,ES=F,2026-07-02,10:40,10:40,short,OR breakdown + EMA trend,7549.25,7561.15,0.158,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-07-06,10:20,13:40,long,OR breakout + EMA trend,7575.75,7567.45,0.11,1.0,True,breakeven,0.5
Jason Berry,ES=F,2026-07-07,10:10,10:10,short,OR breakdown + EMA trend,7548.0,7560.4821,0.165,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-07-08,10:35,10:55,short,OR breakdown + EMA trend,7498.0,7510.3125,0.164,1.0,True,breakeven,0.5
Jason Berry,ES=F,2026-07-09,11:05,15:50,long,OR breakout + EMA trend,7569.75,7560.0625,0.128,1.0,True,time,1.171
Jason Berry,ES=F,2026-07-10,10:30,10:30,short,OR breakdown + EMA trend,7581.25,7597.0,0.208,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-07-13,10:15,10:15,short,OR breakdown + EMA trend,7590.0,7596.7625,0.089,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-07-14,10:30,10:30,long,OR breakout + EMA trend,7591.0,7579.025,0.158,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-07-15,10:50,11:05,short,OR breakdown + EMA trend,7600.5,7608.625,0.107,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-07-16,10:15,12:00,long,OR breakout + EMA trend,7607.75,7598.4125,0.123,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-07-17,10:05,11:00,long,OR breakout + EMA trend,7529.0,7512.6875,0.217,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-07-20,10:05,10:05,short,OR breakdown + EMA trend,7517.75,7524.4375,0.089,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-07-21,10:25,10:25,long,OR breakout + EMA trend,7532.0,7523.575,0.112,1.0,False,stop,-1.0
Jason Berry,ES=F,2026-07-22,11:10,11:35,long,OR breakout + EMA trend,7551.0,7545.2625,0.076,1.0,True,breakeven,0.5
Jason Berry,ES=F,2026-07-23,10:50,12:00,short,OR breakdown + EMA trend,7441.75,7455.1,0.179,1.0,True,breakeven,0.5
