strategy,symbol,date,entry_time,exit_time,direction,setup,entry,stop,risk_pct,target_r,partial_hit,exit_reason,pnl_r
Lance Breitstein,NVDA,2026-05-06,10:05,15:50,long,gap/catalyst proxy + VWAP + relative strength,204.725,201.131,1.756,1.0,False,time,0.747
Lance Breitstein,NVDA,2026-05-13,11:05,15:50,long,gap/catalyst proxy + VWAP + relative strength,227.5386,224.1818,1.475,1.0,False,time,-0.628
Lance Breitstein,NVDA,2026-05-14,10:20,13:10,long,gap/catalyst proxy + VWAP + relative strength,233.6032,231.2512,1.007,1.0,True,breakeven,0.5
Lance Breitstein,NVDA,2026-05-21,10:25,15:50,short,gap/catalyst proxy + VWAP + relative weakness,218.97,223.1999,1.932,1.0,False,time,-0.2
Lance Breitstein,NVDA,2026-06-01,10:15,15:50,long,gap/catalyst proxy + VWAP + relative strength,221.03,217.955,1.391,1.0,True,time,0.908
Lance Breitstein,NVDA,2026-06-05,11:20,15:50,short,gap/catalyst proxy + VWAP + relative weakness,208.81,212.1212,1.586,1.0,True,time,0.896
Lance Breitstein,NVDA,2026-06-15,11:10,15:50,long,gap/catalyst proxy + VWAP + relative strength,211.32,209.7249,0.755,1.0,False,time,0.426
Lance Breitstein,NVDA,2026-06-18,10:05,15:50,long,gap/catalyst proxy + VWAP + relative strength,208.585,207.2961,0.618,1.0,True,time,1.464
Lance Breitstein,NVDA,2026-07-14,12:25,15:50,long,gap/catalyst proxy + VWAP + relative strength,209.555,206.7267,1.35,1.0,True,time,0.964
Lance Breitstein,NVDA,2026-07-23,10:30,11:50,short,gap/catalyst proxy + VWAP + relative weakness,207.73,209.1812,0.699,1.0,True,breakeven,0.5
Lance Breitstein,TSLA,2026-05-07,10:40,11:00,long,gap/catalyst proxy + VWAP + relative strength,415.24,410.746,1.082,1.0,False,stop,-1.0
Lance Breitstein,TSLA,2026-05-08,10:20,15:50,long,gap/catalyst proxy + VWAP + relative strength,428.8834,421.6474,1.687,1.0,False,time,-0.358
Lance Breitstein,TSLA,2026-05-11,10:25,10:50,short,gap/catalyst proxy + VWAP + relative weakness,417.885,422.115,1.012,1.0,False,stop,-1.0
Lance Breitstein,TSLA,2026-05-15,11:00,15:50,short,gap/catalyst proxy + VWAP + relative weakness,424.9,430.666,1.357,1.0,False,time,0.354
Lance Breitstein,TSLA,2026-05-19,10:05,12:55,short,gap/catalyst proxy + VWAP + relative weakness,396.78,400.8471,1.025,1.0,False,stop,-1.0
Lance Breitstein,TSLA,2026-06-01,10:10,15:50,short,gap/catalyst proxy + VWAP + relative weakness,422.0912,425.8651,0.894,1.0,True,time,1.291
Lance Breitstein,TSLA,2026-06-08,10:25,15:50,long,gap/catalyst proxy + VWAP + relative strength,402.9001,398.2921,1.144,1.0,True,time,1.227
Lance Breitstein,TSLA,2026-06-10,11:05,15:50,short,gap/catalyst proxy + VWAP + relative weakness,384.62,390.881,1.628,1.0,False,time,0.39
Lance Breitstein,TSLA,2026-06-23,10:20,15:50,short,gap/catalyst proxy + VWAP + relative weakness,386.875,390.109,0.836,1.0,True,time,1.263
Lance Breitstein,AMD,2026-04-30,10:05,10:35,long,gap/catalyst proxy + VWAP + relative strength,345.1579,338.8609,1.824,1.0,False,stop,-1.0
Lance Breitstein,AMD,2026-05-05,11:35,15:50,long,gap/catalyst proxy + VWAP + relative strength,354.81,349.7461,1.427,1.0,False,time,-0.151
Lance Breitstein,AMD,2026-05-07,11:45,15:50,short,gap/catalyst proxy + VWAP + relative weakness,410.1501,415.9401,1.412,1.0,True,time,0.696
Lance Breitstein,AMD,2026-05-12,10:45,15:40,short,gap/catalyst proxy + VWAP + relative weakness,444.35,452.5939,1.855,1.0,True,breakeven,0.5
Lance Breitstein,AMD,2026-05-20,10:05,15:50,long,gap/catalyst proxy + VWAP + relative strength,440.145,432.9336,1.638,1.0,True,time,0.86
Lance Breitstein,AMD,2026-05-21,10:10,10:40,short,gap/catalyst proxy + VWAP + relative weakness,437.68,443.1329,1.246,1.0,True,breakeven,0.5
Lance Breitstein,AMD,2026-05-26,10:30,11:55,long,gap/catalyst proxy + VWAP + relative strength,495.2,486.41,1.775,1.0,False,stop,-1.0
Lance Breitstein,AMD,2026-06-04,10:05,10:20,short,gap/catalyst proxy + VWAP + relative weakness,501.76,510.928,1.827,1.0,False,stop,-1.0
Lance Breitstein,AMD,2026-06-08,10:35,15:50,long,gap/catalyst proxy + VWAP + relative strength,490.222,482.92,1.49,1.0,False,time,0.04
Lance Breitstein,AMD,2026-06-10,11:40,14:00,short,gap/catalyst proxy + VWAP + relative weakness,459.57,467.4899,1.723,1.0,True,breakeven,0.5
Lance Breitstein,AMD,2026-06-18,10:20,10:25,long,gap/catalyst proxy + VWAP + relative strength,536.555,531.155,1.006,1.0,False,stop,-1.0
Lance Breitstein,AMD,2026-06-30,11:05,15:50,long,gap/catalyst proxy + VWAP + relative strength,565.28,554.024,1.991,1.0,True,time,1.256
Lance Breitstein,AMD,2026-07-01,10:45,15:50,short,gap/catalyst proxy + VWAP + relative weakness,548.6599,557.7139,1.65,1.0,False,time,0.668
Lance Breitstein,AMD,2026-07-07,10:10,12:00,short,gap/catalyst proxy + VWAP + relative weakness,508.53,516.1979,1.508,1.0,False,stop,-1.0
Lance Breitstein,AMD,2026-07-16,12:00,12:25,short,gap/catalyst proxy + VWAP + relative weakness,504.34,511.972,1.513,1.0,False,stop,-1.0
Lance Breitstein,AMD,2026-07-21,12:20,15:50,long,gap/catalyst proxy + VWAP + relative strength,537.5,530.0862,1.379,1.0,True,time,0.906
Lance Breitstein,AMD,2026-07-23,11:10,12:35,short,gap/catalyst proxy + VWAP + relative weakness,539.31,549.2514,1.843,1.0,False,stop,-1.0
Lance Breitstein,META,2026-04-30,10:15,10:55,short,gap/catalyst proxy + VWAP + relative weakness,600.23,607.8619,1.272,1.0,False,stop,-1.0
Lance Breitstein,META,2026-06-03,10:05,15:50,long,gap/catalyst proxy + VWAP + relative strength,617.815,609.397,1.363,1.0,False,time,0.643
Lance Breitstein,META,2026-06-04,10:55,12:40,long,gap/catalyst proxy + VWAP + relative strength,640.07,630.116,1.555,1.0,False,stop,-1.0
Lance Breitstein,META,2026-06-15,10:05,15:15,long,gap/catalyst proxy + VWAP + relative strength,592.685,584.8775,1.317,1.0,True,breakeven,0.5
Lance Breitstein,META,2026-06-17,11:05,15:50,short,gap/catalyst proxy + VWAP + relative weakness,579.715,586.367,1.147,1.0,True,time,1.464
Lance Breitstein,META,2026-06-18,11:50,15:50,long,gap/catalyst proxy + VWAP + relative strength,577.45,569.35,1.403,1.0,False,time,0.162
Lance Breitstein,META,2026-07-01,10:05,15:25,long,gap/catalyst proxy + VWAP + relative strength,614.68,604.492,1.657,1.0,True,breakeven,0.5
Lance Breitstein,META,2026-07-02,10:10,15:50,short,gap/catalyst proxy + VWAP + relative weakness,591.1,602.32,1.898,1.0,False,time,0.562
Lance Breitstein,META,2026-07-06,14:20,15:50,long,gap/catalyst proxy + VWAP + relative strength,600.5658,591.2478,1.552,1.0,False,time,-0.085
Lance Breitstein,META,2026-07-07,14:00,15:40,long,gap/catalyst proxy + VWAP + relative strength,614.87,608.81,0.986,1.0,True,breakeven,0.5
Lance Breitstein,META,2026-07-17,10:05,12:15,short,gap/catalyst proxy + VWAP + relative weakness,635.185,642.8432,1.206,1.0,True,breakeven,0.5
Lance Breitstein,META,2026-07-23,10:45,12:15,short,gap/catalyst proxy + VWAP + relative weakness,603.075,608.646,0.924,1.0,True,breakeven,0.5
Lance Breitstein,AAPL,2026-04-30,12:30,15:50,long,gap/catalyst proxy + VWAP + relative strength,273.42,271.0869,0.853,1.0,False,time,-0.444
Lance Breitstein,AAPL,2026-05-01,10:05,11:00,long,gap/catalyst proxy + VWAP + relative strength,285.783,281.955,1.339,1.0,False,stop,-1.0
Lance Breitstein,AAPL,2026-07-01,11:15,14:00,long,gap/catalyst proxy + VWAP + relative strength,295.645,292.8904,0.932,1.0,False,stop,-1.0
Lance Breitstein,AAPL,2026-07-16,11:35,12:25,long,gap/catalyst proxy + VWAP + relative strength,331.37,328.754,0.789,1.0,False,stop,-1.0
Lance Breitstein,AAPL,2026-07-17,10:05,10:30,short,gap/catalyst proxy + VWAP + relative weakness,329.685,332.6242,0.892,1.0,False,stop,-1.0
Lance Breitstein,MSFT,2026-04-30,10:05,15:25,short,gap/catalyst proxy + VWAP + relative weakness,401.26,408.3765,1.774,1.0,False,stop,-1.0
Lance Breitstein,MSFT,2026-05-01,11:45,12:20,long,gap/catalyst proxy + VWAP + relative strength,417.011,413.5874,0.821,1.0,False,stop,-1.0
Lance Breitstein,MSFT,2026-05-15,10:25,15:50,long,gap/catalyst proxy + VWAP + relative strength,418.47,415.266,0.766,1.0,True,time,0.956
Lance Breitstein,MSFT,2026-05-28,10:05,15:50,long,gap/catalyst proxy + VWAP + relative strength,425.65,418.459,1.689,1.0,False,time,0.029
Lance Breitstein,MSFT,2026-05-29,10:40,15:50,long,gap/catalyst proxy + VWAP + relative strength,442.07,436.4121,1.28,1.0,False,time,1.073
Lance Breitstein,MSFT,2026-06-02,10:40,15:50,short,gap/catalyst proxy + VWAP + relative weakness,443.1999,449.1999,1.354,1.0,False,time,0.403
Lance Breitstein,MSFT,2026-06-15,11:45,15:50,long,gap/catalyst proxy + VWAP + relative strength,400.28,396.7851,0.873,1.0,False,time,-0.351
Lance Breitstein,MSFT,2026-06-26,10:05,15:50,long,gap/catalyst proxy + VWAP + relative strength,364.47,359.208,1.444,1.0,True,time,1.53
Lance Breitstein,MSFT,2026-07-01,10:30,15:50,long,gap/catalyst proxy + VWAP + relative strength,383.81,378.9466,1.267,1.0,True,time,0.484
Lance Breitstein,MSFT,2026-07-07,10:15,14:45,long,gap/catalyst proxy + VWAP + relative strength,395.05,391.318,0.945,1.0,False,stop,-1.0
Lance Breitstein,MSFT,2026-07-08,13:05,14:00,short,gap/catalyst proxy + VWAP + relative weakness,381.622,383.788,0.568,1.0,False,stop,-1.0
Lance Breitstein,MSFT,2026-07-17,10:05,13:35,short,gap/catalyst proxy + VWAP + relative weakness,391.73,395.33,0.919,1.0,False,stop,-1.0
Lance Breitstein,AMZN,2026-06-01,12:15,15:50,short,gap/catalyst proxy + VWAP + relative weakness,261.955,264.547,0.989,1.0,False,time,0.237
Lance Breitstein,AMZN,2026-06-18,11:00,15:50,long,gap/catalyst proxy + VWAP + relative strength,241.1,238.184,1.209,1.0,True,time,0.98
Lance Breitstein,AMZN,2026-06-22,10:10,15:50,short,gap/catalyst proxy + VWAP + relative weakness,237.69,239.6999,0.846,1.0,True,time,1.328
Lance Breitstein,AMZN,2026-06-26,10:05,14:35,long,gap/catalyst proxy + VWAP + relative strength,229.93,227.7226,0.96,1.0,True,breakeven,0.5
Lance Breitstein,AMZN,2026-07-15,10:15,15:50,long,gap/catalyst proxy + VWAP + relative strength,254.8,252.429,0.931,1.0,False,time,0.171
Lance Breitstein,AMZN,2026-07-23,10:05,12:20,short,gap/catalyst proxy + VWAP + relative weakness,234.645,236.4856,0.784,1.0,True,breakeven,0.5
Lance Breitstein,GOOGL,2026-04-30,11:10,15:50,long,gap/catalyst proxy + VWAP + relative strength,377.83,371.7037,1.621,1.0,True,time,0.888
Lance Breitstein,GOOGL,2026-05-06,12:10,14:30,long,gap/catalyst proxy + VWAP + relative strength,399.645,395.3747,1.069,1.0,False,stop,-1.0
Lance Breitstein,GOOGL,2026-05-11,14:35,15:50,short,gap/catalyst proxy + VWAP + relative weakness,391.61,395.078,0.886,1.0,False,time,0.732
Lance Breitstein,GOOGL,2026-05-14,10:25,11:35,short,gap/catalyst proxy + VWAP + relative weakness,396.209,398.873,0.672,1.0,False,stop,-1.0
Lance Breitstein,GOOGL,2026-06-11,10:15,13:30,short,gap/catalyst proxy + VWAP + relative weakness,346.58,352.406,1.681,1.0,False,stop,-1.0
Lance Breitstein,GOOGL,2026-06-12,11:20,12:00,long,gap/catalyst proxy + VWAP + relative strength,366.2,360.56,1.54,1.0,False,stop,-1.0
Lance Breitstein,GOOGL,2026-06-15,11:25,15:45,long,gap/catalyst proxy + VWAP + relative strength,372.37,369.04,0.894,1.0,False,stop,-1.0
Lance Breitstein,GOOGL,2026-06-18,13:25,15:50,long,gap/catalyst proxy + VWAP + relative strength,367.845,362.451,1.466,1.0,False,time,0.19
Lance Breitstein,GOOGL,2026-06-22,10:05,15:50,short,gap/catalyst proxy + VWAP + relative weakness,352.19,355.52,0.946,1.0,True,time,0.867
Lance Breitstein,GOOGL,2026-06-29,10:05,15:50,long,gap/catalyst proxy + VWAP + relative strength,348.745,345.9431,0.803,1.0,True,time,1.39
Lance Breitstein,GOOGL,2026-07-09,10:10,14:00,short,gap/catalyst proxy + VWAP + relative weakness,353.265,356.571,0.936,1.0,False,stop,-1.0
Lance Breitstein,GOOGL,2026-07-23,10:20,12:15,short,gap/catalyst proxy + VWAP + relative weakness,317.65,321.4,1.181,1.0,False,stop,-1.0
Lance Breitstein,AVGO,2026-05-05,11:10,15:50,long,gap/catalyst proxy + VWAP + relative strength,426.865,422.671,0.983,1.0,True,time,0.603
Lance Breitstein,AVGO,2026-05-07,13:15,15:15,short,gap/catalyst proxy + VWAP + relative weakness,413.91,419.5987,1.374,1.0,True,breakeven,0.5
