symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url,last_price,today_pct,market_cap,nasdaq_volume,current_dollar_volume
CPHI,China Pharma Holdings Inc. Common Stock,$8.10,7.19,790.11%,88812034,328228216.00,China,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/cphi,8.1,790.11,328228216.0,88812034.0,719377475.4
CLBK,Columbia Financial Inc. Common Stock,$11.08,-0.0564,-0.506%,57505015,1152845957.00,United States,2018,Savings Institutions,Finance,/market-activity/stocks/clbk,11.08,-0.506,1152845957.0,57505015.0,637155566.2
VIVK,Vivakor Inc. Common Stock,$2.58,0.85,49.133%,140769019,1721376.00,United States,,,,/market-activity/stocks/vivk,2.58,49.133,1721376.0,140769019.0,363184069.02
TE,T1 Energy Inc. Common Stock,$6.10,0.07,1.161%,48218374,1703555418.00,Luxembourg,2021,Industrial Machinery/Components,Miscellaneous,/market-activity/stocks/te,6.1,1.161,1703555418.0,48218374.0,294132081.4
FCEL,FuelCell Energy Inc. Common Stock,$21.64,1.80,9.073%,9749437,1463040864.00,United States,,Industrial Machinery/Components,Energy,/market-activity/stocks/fcel,21.64,9.073,1463040864.0,9749437.0,210977816.68
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,$2.20,-0.26,-10.569%,86355345,1963730204.00,United States,2013,Movies/Entertainment,Consumer Discretionary,/market-activity/stocks/amc,2.2,-10.569,1963730204.0,86355345.0,189981759.00000003
DFNS,T3 Defense Inc. Common Stock,$6.57,2.31,54.225%,21422710,16597384.00,United States,2020,Professional Services,Consumer Discretionary,/market-activity/stocks/dfns,6.57,54.225,16597384.0,21422710.0,140747204.70000002
JBLU,JetBlue Airways Corporation Common Stock,$5.35,-0.10,-1.835%,25088374,1990301083.00,United States,2002,Air Freight/Delivery Services,Consumer Discretionary,/market-activity/stocks/jblu,5.35,-1.835,1990301083.0,25088374.0,134222800.9
POET,POET Technologies Inc. Common Shares,$8.37,0.90,12.048%,14574173,1279719465.00,Canada,,Semiconductors,Technology,/market-activity/stocks/poet,8.37,12.048,1279719465.0,14574173.0,121985828.00999999
ZYBT,Zhengye Biotechnology Holding Limited Class A Ordinary Shares,$2.85,-5.16,-64.419%,37639894,135065422.00,China,2025,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/zybt,2.85,-64.419,135065422.0,37639894.0,107273697.9
NUAI,New Era Energy & Digital Inc. Common Stock,$5.91,0.76,14.757%,16006626,598629384.00,United States,,Oil & Gas Production,Energy,/market-activity/stocks/nuai,5.91,14.757,598629384.0,16006626.0,94599159.66
PSNL,Personalis Inc. Common Stock,$13.44,0.10,0.75%,6812347,1407451557.00,United States,2019,Medical Specialities,Health Care,/market-activity/stocks/psnl,13.44,0.75,1407451557.0,6812347.0,91557943.67999999
WOLF,Wolfspeed Inc. Common Stock New,$31.73,2.35,7.999%,2756113,1649074765.00,United States,2025,Semiconductors,Technology,/market-activity/stocks/wolf,31.73,7.999,1649074765.0,2756113.0,87451465.49
