trades,win_rate_pct,avg_r,median_r,total_r,best_r,worst_r,partial_hit_pct,stop_exit_pct,version,year
2,50.0,-0.25,-0.25,-0.5,0.5,-1.0,50.0,50.0,a_grade_profit_subset,2017
2,0.0,-0.51,-0.51,-1.021,-0.021,-1.0,0.0,50.0,a_grade_profit_subset,2018
1,100.0,0.408,0.408,0.408,0.408,0.408,0.0,0.0,a_grade_profit_subset,2019
3,66.67,0.164,0.063,0.491,0.599,-0.172,0.0,0.0,a_grade_profit_subset,2020
1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,100.0,a_grade_profit_subset,2021
5,80.0,0.478,0.302,2.39,1.318,-0.387,40.0,0.0,a_grade_profit_subset,2023
2,100.0,0.601,0.601,1.202,0.817,0.386,50.0,0.0,a_grade_profit_subset,2024
5,60.0,0.002,0.159,0.009,0.5,-1.0,20.0,20.0,a_grade_profit_subset,2025
3,66.67,0.42,0.868,1.259,1.392,-1.0,33.33,33.33,a_grade_profit_subset,2026
1,100.0,0.241,0.241,0.241,0.241,0.241,0.0,0.0,profit_model,2016
5,60.0,0.235,0.5,1.177,1.018,-1.0,40.0,20.0,profit_model,2017
9,55.56,0.141,0.308,1.273,1.82,-1.0,44.44,33.33,profit_model,2018
8,50.0,-0.143,0.053,-1.142,0.738,-1.0,0.0,25.0,profit_model,2019
28,67.86,0.121,0.281,3.375,1.256,-1.0,32.14,28.57,profit_model,2020
15,66.67,0.043,0.242,0.64,0.846,-1.0,0.0,20.0,profit_model,2021
9,66.67,0.16,0.33,1.437,1.117,-1.0,22.22,22.22,profit_model,2022
16,56.25,0.025,0.12,0.4,1.34,-1.0,18.75,25.0,profit_model,2023
21,71.43,0.177,0.442,3.715,1.453,-1.0,38.1,28.57,profit_model,2024
44,54.55,0.035,0.12,1.547,1.921,-1.0,22.73,27.27,profit_model,2025
23,47.83,0.05,-0.083,1.139,1.458,-1.0,21.74,21.74,profit_model,2026
1,100.0,0.393,0.393,0.393,0.393,0.393,0.0,0.0,relaxed_winrate_fade15,2016
1,100.0,0.01,0.01,0.01,0.01,0.01,0.0,0.0,relaxed_winrate_fade15,2017
5,60.0,0.26,0.48,1.302,1.346,-1.0,40.0,20.0,relaxed_winrate_fade15,2018
4,25.0,-0.183,-0.066,-0.733,0.398,-1.0,0.0,25.0,relaxed_winrate_fade15,2019
7,57.14,0.096,0.345,0.67,1.043,-1.0,14.29,14.29,relaxed_winrate_fade15,2020
6,50.0,-0.151,-0.02,-0.905,0.39,-1.0,0.0,16.67,relaxed_winrate_fade15,2021
3,66.67,0.331,0.258,0.993,0.936,-0.201,33.33,0.0,relaxed_winrate_fade15,2022
2,100.0,0.187,0.187,0.374,0.199,0.175,0.0,0.0,relaxed_winrate_fade15,2023
7,57.14,0.123,0.299,0.86,0.971,-1.0,28.57,28.57,relaxed_winrate_fade15,2024
11,81.82,0.461,0.416,5.067,1.085,-0.654,45.45,0.0,relaxed_winrate_fade15,2025
7,85.71,0.509,0.473,3.564,1.099,-0.13,28.57,0.0,relaxed_winrate_fade15,2026
1,100.0,0.01,0.01,0.01,0.01,0.01,0.0,0.0,relaxed_winrate_fade20,2017
2,100.0,0.966,0.966,1.931,1.346,0.585,100.0,0.0,relaxed_winrate_fade20,2018
1,100.0,0.398,0.398,0.398,0.398,0.398,0.0,0.0,relaxed_winrate_fade20,2019
2,50.0,0.349,0.349,0.698,0.736,-0.039,0.0,0.0,relaxed_winrate_fade20,2020
1,100.0,0.047,0.047,0.047,0.047,0.047,0.0,0.0,relaxed_winrate_fade20,2021
1,100.0,0.258,0.258,0.258,0.258,0.258,0.0,0.0,relaxed_winrate_fade20,2022
3,66.67,0.398,0.299,1.193,0.971,-0.076,33.33,0.0,relaxed_winrate_fade20,2024
2,100.0,0.75,0.75,1.5,1.0,0.5,100.0,0.0,relaxed_winrate_fade20,2025
